KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
ConcreteDestroyedBlocks,Concrete Blocks (Damaged),,Blocs béton - détruits,,,,,,,,,,,,,,
ConcreteFull,Concrete Block,,Bloc béton,,,,,,,,,,,,,,
ConcreteFullDestroyed,Concrete Block - (Damaged),,Bloc béton - détruit,,,,,,,,,,,,,,
ConcreteThin,Concrete Block,,Bloc béton (fin),,,,,,,,,,,,,,
ConcreteThinBlocks,Concrete Thin Blocks,,Blocs béton (fin),,,,,,,,,,,,,,
ConcreteThinDestroyed,Concrete Thin Blocks (Damaged),,Blocs béton (fin) - détruits,,,,,,,,,,,,,,
GrowingPot,Hydroponics Unit (Steel),,Plot horticole (acier),,,,,,,,,,,,,,
GrowingPotConcrete,Hydroponics Unit (Concrete),,Plot horticole (béton),,,,,,,,,,,,,,
GrowingPotWood,Hydroponics Unit (Wood),,Plot horticole (bois),,,,,,,,,,,,,,
HullArmoredFull,Hardened Steel Block,,Bloc acier blindé,,,,,,,,,,,,,,
HullArmoredFullLarge,Hardened Steel Block (Large),,Bloc acier blindé L,,,,,,,,,,,,,,
HullArmoredFullSmall,Hardened Steel Block (Small),,Bloc acier blindé S,,,,,,,,,,,,,,
HullArmoredLargeBlocks,Hardened Steel Blocks (Large),,Blocs acier blindé L,,,,,,,,,,,,,,
HullArmoredSmallBlocks,Hardened Steel Blocks (Small),,Blocs acier blindé S,,,,,,,,,,,,,,
HullArmoredThin,Hardened Steel Block,,Bloc acier blindé (fin),,,,,,,,,,,,,,
HullArmoredThinLarge,Hardened Steel Block (Large),,Bloc acier blindé L (fin),,,,,,,,,,,,,,
HullArmoredThinLargeBlocks,Hardened Steel Thin Blocks (Large),,Blocs acier blindé L (fin),,,,,,,,,,,,,,
HullArmoredThinSmall,Hardened Steel Block (Small),,Bloc acier blindé S (fin),,,,,,,,,,,,,,
HullArmoredThinSmallBlocks,Hardened Steel Thin Blocks (Small),,Blocs acier blindé S (fin),,,,,,,,,,,,,,
HullCombatFullLarge,Combat Steel Block (Large),,Bloc acier militaire L,,,,,,,,,,,,,,
HullCombatLargeBlocks,Combat Steel Blocks (Large),,Blocs acier militaire L,,,,,,,,,,,,,,
HullCombatThinLarge,Combat Steel Block (Large),,Bloc acier militaire L (fin),,,,,,,,,,,,,,
