KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_CCSqK,Story Chapter 6: [c][00ffff]Uncertain Outcomes[-][/c],,Chapitre 06: [00ffff]Conséquences imprévisibles[-],,,,,,,,,,,,,,
txt_G82mO,The Meeting,,La réunion,,,,,,,,,,,,,,
txt_GEmSJ,The private rooms are on the upper deck of the station.,,"La porte sécurisée se trouve dans la zone d'accès limité, sur le supérieur.",,,,,,,,,,,,,,
txt_4Gq0a,The Meeting,,La réunion,,,,,,,,,,,,,,
txt_Se0SC,Find the meeting room and talk to the GLaD spokesperson named Sectioner32,,Trouver la salle de réunion et parlez au porte-parole du GLaD nommé Sectioner32,,,,,,,,,,,,,,
txt_mmWeS,Find Sectioner32,,Trouver Sectioner32,,,,,,,,,,,,,,
txt_maWWO,Find Sectioner32,,Trouver Sectioner32,,,,,,,,,,,,,,
txt_a3Auq,[c][80ffff]Really abort the mission? Please confirm![-][/c]\n\nYou can restart the mission via your PDA (F1) at any time.,,[80ffff]Abandonner la mission? Veuillez confirmer! [-]\n\nVous pouvez redémarrer la mission à tout moment via le PDA (F1).,,,,,,,,,,,,,,
txt_Keo8i,Foreign Intel,,Services de renseignement,,,,,,,,,,,,,,
txt_GCmci,Foreign Intel,,Services de renseignement,,,,,,,,,,,,,,
txt_tCOCq,"[c][00ffff][GLaD] [-][/c]I have hacked into the station computers, not only for your landing permission, but to announce you as an inspector. You can go wherever you want. Use this to your advantage, but don't attract suspicion. \n\nWalk around for a while, talk to the [c][fbff00]Station Manager[-][/c]\nThen find our contact at the [c][fbff00]Transport Manager[-][/c] desk.",,"[80ffff][GLaD][-] Nous avons piraté les ordinateurs de la station, non seulement pour vous obtenir une autorisation d'atterrissage, mais pour vous présenter en tant qu'inspecteur. Vous pouvez aller où vous voulez. Utilisez ceci à votre avantage, mais n'attirez pas les soupçons. \n[ffff80][-]\nTrainez un peu, parlez au [ffff80]Chef de Station[-] \nPpuis trouvez votre contact au bureau du [ffff80]Chef d'équipe[-].",,,,,,,,,,,,,,
txt_iUC82,Play your role as a station inspector,,Jouer votre rôle d'Inspecteur de station,,,,,,,,,,,,,,
txt_G8e0e,Go to the signal,,Posez-vous,,,,,,,,,,,,,,
txt_lu2Cj,Go to the signal,,Aller au Signal,,,,,,,,,,,,,,
txt_OCGG0,Foreign Intel,,Services de renseignement,,,,,,,,,,,,,,
txt_C08CW,Play your role as a station inspector,,Jouer votre rôle d'Inspecteur de station,,,,,,,,,,,,,,
txt_KWaSC,Speak to the Station Manager,,Parler au Chef de station,,,,,,,,,,,,,,
txt_SiSKC,- -,,,,,,,,,,,,,,,,
txt_8444m,Foreign Intel,,Services de renseignement,,,,,,,,,,,,,,
txt_40a0O,Meet the GLaD contact person at the Transport Manager desk,,Rencontrer votre contact du GLad dans le bureau du Chef d'équipe,,,,,,,,,,,,,,
txt_K04Wa,Speak to the Transport Manager,,Parler au Chef d'équipe,,,,,,,,,,,,,,
txt_qQeqG,Speak to the Transport Manager,,Parler au Chef d'équipe,,,,,,,,,,,,,,
txt_qmOKR,Foreign Intel,,Services de renseignement,,,,,,,,,,,,,,
txt_S8Oi8,Go to the station mining area and investigate,,Aller dans la zone minière de la station et enquêtez,,,,,,,,,,,,,,
txt_HOGWu,Go to the cellar,,Aller au cellier,,,,,,,,,,,,,,
txt_i2Sii,Follow the marker down to the mining area,,Suivez le marqueur jusqu'à la zone minière,,,,,,,,,,,,,,
txt_GaZG8,This has been a strange conversation... without any coherence. Maybe a hidden code?,,Cette conversation était vraiment.. étrange... sans aucune cohérence. Peut-être un message codé?,,,,,,,,,,,,,,
txt_4WICm,Go to the mine shaft,,Descendre au puits de mine,,,,,,,,,,,,,,
txt_880uG,Descend into the mine,,Descendre dans la mine,,,,,,,,,,,,,,
